Week,Almond Milk,Oat Milk,Soy Milk,Rice Milk
4/5/2015,35,1,19,7
4/12/2015,37,1,16,5
4/19/2015,49,1,15,6
4/26/2015,37,1,11,9
5/3/2015,33,1,13,5
5/10/2015,41,1,14,7
5/17/2015,40,1,14,6
5/24/2015,44,1,13,6
5/31/2015,41,1,14,6
6/7/2015,39,<1,16,5
6/14/2015,43,0,15,6
6/21/2015,44,1,14,6
6/28/2015,36,1,13,7
7/5/2015,43,1,18,8
7/12/2015,49,1,17,10
7/19/2015,46,<1,18,9
7/26/2015,58,<1,18,9
8/2/2015,39,1,14,9
8/9/2015,43,<1,11,8
8/16/2015,45,1,15,7
8/23/2015,37,1,15,6
8/30/2015,37,<1,15,6
9/6/2015,34,1,19,5
9/13/2015,36,<1,17,6
9/20/2015,40,<1,14,4
9/27/2015,42,1,13,7
10/4/2015,38,<1,15,6
10/11/2015,38,1,15,7
10/18/2015,37,1,16,7
10/25/2015,37,1,13,7
11/1/2015,35,1,14,9
11/8/2015,33,1,13,9
11/15/2015,36,1,15,7
11/22/2015,32,1,14,8
11/29/2015,30,1,14,6
12/6/2015,27,<1,10,6
12/13/2015,29,<1,14,6
12/20/2015,34,1,12,8
12/27/2015,50,1,13,5
1/3/2016,55,1,19,9
1/10/2016,46,1,19,6
1/17/2016,58,2,19,9
1/24/2016,57,1,20,7
1/31/2016,50,1,17,10
2/7/2016,43,1,16,7
2/14/2016,50,1,18,8
2/21/2016,48,<1,16,7
2/28/2016,47,1,15,9
3/6/2016,41,1,16,7
3/13/2016,45,1,16,6
3/20/2016,45,1,17,8
3/27/2016,51,1,15,7
4/3/2016,49,1,16,6
4/10/2016,49,1,18,9
4/17/2016,49,1,16,7
4/24/2016,44,1,15,7
5/1/2016,46,1,16,6
5/8/2016,45,1,16,8
5/15/2016,52,1,14,5
5/22/2016,44,<1,17,6
5/29/2016,41,<1,15,7
6/5/2016,49,2,16,9
6/12/2016,49,1,19,8
6/19/2016,45,<1,16,6
6/26/2016,45,<1,17,5
7/3/2016,42,1,16,5
7/10/2016,44,1,15,6
7/17/2016,48,1,16,7
7/24/2016,47,1,17,8
7/31/2016,48,1,16,6
8/7/2016,54,<1,12,6
8/14/2016,44,<1,16,7
8/21/2016,44,<1,21,9
8/28/2016,47,<1,18,8
9/4/2016,47,1,16,6
9/11/2016,52,1,17,7
9/18/2016,42,<1,17,6
9/25/2016,48,1,15,7
10/2/2016,44,1,18,8
10/9/2016,44,1,17,7
10/16/2016,46,<1,18,4
10/23/2016,41,1,11,8
10/30/2016,43,1,17,5
11/6/2016,35,1,11,9
11/13/2016,39,1,14,7
11/20/2016,34,1,13,6
11/27/2016,36,1,11,7
12/4/2016,37,1,15,7
12/11/2016,40,2,11,5
12/18/2016,35,1,12,6
12/25/2016,40,1,14,5
1/1/2017,59,1,17,9
1/8/2017,61,1,21,7
1/15/2017,71,1,20,9
1/22/2017,60,1,17,10
1/29/2017,56,1,16,8
2/5/2017,55,1,15,7
2/12/2017,49,1,12,8
2/19/2017,56,1,18,8
2/26/2017,62,1,16,8
3/5/2017,66,1,17,6
3/12/2017,68,1,15,7
3/19/2017,67,<1,15,10
3/26/2017,65,1,21,10
4/2/2017,64,1,18,8
4/9/2017,58,1,14,8
4/16/2017,56,1,13,7
4/23/2017,60,<1,17,6
4/30/2017,60,1,17,9
5/7/2017,56,1,14,6
5/14/2017,54,1,14,7
5/21/2017,53,1,13,8
5/28/2017,50,1,13,7
6/4/2017,54,1,14,8
6/11/2017,54,2,13,6
6/18/2017,52,1,14,8
6/25/2017,55,1,16,7
7/2/2017,55,1,15,9
7/9/2017,57,2,16,8
7/16/2017,65,2,21,8
7/23/2017,61,1,17,9
7/30/2017,64,1,15,9
8/6/2017,68,3,18,9
8/13/2017,60,2,16,6
8/20/2017,54,1,16,8
8/27/2017,54,1,16,6
9/3/2017,55,1,14,7
9/10/2017,54,2,14,7
9/17/2017,55,1,15,8
9/24/2017,57,2,16,8
10/1/2017,48,2,14,7
10/8/2017,52,1,14,9
10/15/2017,49,2,15,8
10/22/2017,47,1,16,7
10/29/2017,49,2,16,9
11/5/2017,53,2,14,9
11/12/2017,49,2,16,8
11/19/2017,45,1,16,8
11/26/2017,46,2,14,6
12/3/2017,45,2,13,7
12/10/2017,45,1,15,7
12/17/2017,47,2,13,7
12/24/2017,52,2,14,10
12/31/2017,71,3,18,9
1/7/2018,74,3,19,9
1/14/2018,86,4,20,7
1/21/2018,73,5,20,9
1/28/2018,75,6,21,8
2/4/2018,68,4,18,9
2/11/2018,65,3,16,9
2/18/2018,67,3,15,9
2/25/2018,68,4,19,9
3/4/2018,71,5,19,10
3/11/2018,66,5,15,8
3/18/2018,70,3,16,8
3/25/2018,69,5,16,9
4/1/2018,73,5,16,8
4/8/2018,71,4,17,8
4/15/2018,68,5,18,8
4/22/2018,66,6,16,9
4/29/2018,71,5,16,7
5/6/2018,61,4,13,8
5/13/2018,61,4,14,7
5/20/2018,57,4,16,9
5/27/2018,68,4,15,8
6/3/2018,62,4,15,8
6/10/2018,61,3,12,7
6/17/2018,64,6,13,7
6/24/2018,64,4,15,5
7/1/2018,64,5,14,9
7/8/2018,67,5,13,7
7/15/2018,74,6,17,8
7/22/2018,74,8,17,8
7/29/2018,100,6,15,7
8/5/2018,93,6,17,7
8/12/2018,72,8,13,7
8/19/2018,77,4,17,8
8/26/2018,67,7,15,7
9/2/2018,64,5,14,7
9/9/2018,60,7,15,6
9/16/2018,62,6,18,7
9/23/2018,60,5,15,8
9/30/2018,59,6,15,8
10/7/2018,55,6,13,9
10/14/2018,60,5,15,7
10/21/2018,51,6,14,7
10/28/2018,53,6,14,7
11/4/2018,58,5,15,7
11/11/2018,53,6,16,7
11/18/2018,53,4,12,8
11/25/2018,54,5,13,7
12/2/2018,51,5,14,9
12/9/2018,57,6,13,6
12/16/2018,44,6,14,7
12/23/2018,57,5,13,7
12/30/2018,73,11,15,9
1/6/2019,85,15,17,7
1/13/2019,86,11,16,9
1/20/2019,77,12,16,10
1/27/2019,77,12,17,10
2/3/2019,72,11,16,9
2/10/2019,69,8,19,9
2/17/2019,70,14,16,6
2/24/2019,71,12,17,9
3/3/2019,72,10,15,8
3/10/2019,67,11,15,8
3/17/2019,73,11,16,8
3/24/2019,71,11,17,8
3/31/2019,69,14,16,7
4/7/2019,71,13,16,6
4/14/2019,67,13,17,9
4/21/2019,62,13,17,7
4/28/2019,70,10,16,9
5/5/2019,66,11,12,7
5/12/2019,66,15,13,6
5/19/2019,60,13,13,7
5/26/2019,67,15,11,7
6/2/2019,71,12,13,7
6/9/2019,68,16,13,7
6/16/2019,69,13,14,8
6/23/2019,71,12,15,7
6/30/2019,66,12,14,8
7/7/2019,67,13,13,8
7/14/2019,72,14,16,9
7/21/2019,63,16,14,6
7/28/2019,65,15,17,7
8/4/2019,70,13,16,7
8/11/2019,70,17,15,8
8/18/2019,69,16,13,6
8/25/2019,60,12,15,7
9/1/2019,61,14,16,8
9/8/2019,59,14,15,6
9/15/2019,61,13,15,6
9/22/2019,57,15,14,7
9/29/2019,59,13,14,7
10/6/2019,59,14,13,7
10/13/2019,62,13,13,6
10/20/2019,61,17,14,8
10/27/2019,53,13,14,6
11/3/2019,60,17,14,7
11/10/2019,65,22,14,8
11/17/2019,62,14,16,8
11/24/2019,62,13,14,8
12/1/2019,58,13,12,8
12/8/2019,50,12,14,6
12/15/2019,50,13,12,8
12/22/2019,57,15,15,9
